award_id,cancelled_trump,title,directorate,start_date,state,org_name,end_date,year,award_amount
"=""1936533""",yes,"Geotechnical Engineering Faculty Teaching Strategies and Resources Workshop; Minneapolis, Minnesota; 25 February 2020",CMMI,08/15/2019,PA,Drexel University,07/31/2020,2020,59812.0
"=""1926163""",yes,Doctoral Dissertation Research: Community Ecology of Living and Fossil Cercopithecid Primates,BCS,08/15/2019,AZ,Arizona State University,01/31/2021,2021,16609.0
"=""1936702""",yes,Workshop on Emergent Trends in Complex Function Theory,DMS,08/15/2019,DE,University of Delaware,07/31/2020,2020,22410.0
"=""1938015""",yes,2019 Collaborative Research in Computational Neuroscience (CRCNS) Annual Principal Investigators Meeting,IIS,08/15/2019,TX,University of Texas at Austin,07/31/2020,2020,50000.0
"=""1940676""",yes,I-Corps: A Non-Toxic Electrodeposition Process for Structural Color,TI,08/15/2019,MI,Regents of the University of Michigan - Ann Arbor,07/31/2020,2020,50000.0
"=""1944717""",yes,"Collaborative Research: RAPID: Using the M6.4-7.1 Ridgecrest, CA Earthquake sequence to test a postseismic stress evolution monitoring system",EAR,08/15/2019,TX,University of Texas at Austin,07/31/2020,2020,14000.0
"=""1912926""",yes,"Conference Participation Support Proposal - 22nd Annual Conference Experience for Undergraduates; Crystal City, VA, 13-17 October 2019",PHY,08/15/2019,WI,University of Wisconsin-La Crosse,07/31/2020,2020,29540.0
"=""1914139""",yes,SBIR Phase I:  Lower Extremity Injury Prediction Neuromuscular Algorithm,TI,08/15/2019,DE,"HX INNOVATIONS, INC.",07/31/2020,2020,225000.0
"=""1946338""",yes,"Conference: Developing US Leaders and US Leadership in the Mechanics of Materials and Structures; St. Louis, Missouri; 13-15 October 2019",CMMI,08/15/2019,MO,Washington University,07/31/2020,2020,34960.0
"=""1941078""",yes,"US Trainee Travel Awards to attend the 2nd Timing Research Forum: Queretaro, Mexico - October 2019",BCS,08/15/2019,CA,University of California-San Diego,07/31/2020,2020,20000.0
"=""1913998""",yes,STTR Phase I:  Thermal Runaway and Pressure Suppression (TRAPS) for Lithium-Ion Batteries,TI,08/15/2019,TX,"ALTECT, INC.",12/31/2020,2020,225000.0
"=""1933207""",yes,"Workshop on Power Electronics-enabled Operation of Power  Systems, To Be In Chicago, IL, October 31 - November 1, 2019",ECCS,08/15/2019,IL,Illinois Institute of Technology,07/31/2020,2020,49978.0
"=""1939947""",yes,The 2019 Joint Computer Systems Research and Networking Technology and Systems PI Meeting,CNS,08/15/2019,VA,George Mason University,07/31/2020,2020,21759.0
"=""1916727""",yes,Planning IUCRC at Colorado School of Mines:  Energy Information Nexus (EIN),EEC,08/15/2019,CO,Colorado School of Mines,07/31/2020,2020,15000.0
"=""1900397""",yes,Second Northeast Conference on Dynamical Systems,DMS,08/15/2019,MA,University of Massachusetts Amherst,07/31/2020,2020,23600.0
"=""1938199""",yes,"Trans-US Government expert meeting to examine synthetic biology roadmap; October 16-18, 2019; Bethesda, MD",MCB,08/15/2019,CA,University of California-Berkeley,07/31/2020,2020,122883.0
"=""1939807""",yes,"Symposium Support for the 259th  American Chemical Society National Meeting, March 22-26, 2020, Philadelphia, PA",DMR,08/15/2019,AL,University of Alabama at Birmingham,07/31/2020,2020,5000.0
"=""1915932""",yes,Deep Learning and Random Forests for High-Dimensional Regression,DMS,08/15/2019,NJ,Rutgers University New Brunswick,11/30/2020,2020,105385.0
"=""1941102""",yes,FY2019 Cross Agency Priority Goals (CAP),BFA,08/15/2019,DC,GENERAL SERVICES ADMINISTRATION,08/31/2020,2020,77516.0
"=""1944292""",yes,"Collaborative Research: RAPID: Using the M6.4-7.1 Ridgecrest, CA Earthquake sequence to test a postseismic stress evolution monitoring system",EAR,08/15/2019,IN,Indiana University,07/31/2020,2020,23814.0
"=""1941013""",yes,Focusing the lens on field safety: a workshop for field trip leaders,EAR,08/15/2019,IA,University of Iowa,07/31/2020,2020,11875.0
"=""1940760""",yes,"NSF Student Travel Grant for 2019 ACM SIGPLAN Conference on Systems, Programming, Languages and Applications: Software for Humanity (SPLASH)",CCF,08/15/2019,VA,George Mason University,01/31/2020,2020,30000.0
"=""1934840""",yes,NSF Student Travel Grant for 2019 IEEE Cyber Security Development (SecDev),CNS,08/15/2019,MD,Johns Hopkins University,01/31/2020,2020,12000.0
"=""1901000""",yes,SHF: Medium: Collaborative Research: Semantically-Enhanced Dynamic Traceability for Supporting Human-Centric Development Tasks,CCF,08/15/2019,CA,California Polytechnic State University Foundation,08/31/2020,2020,67609.0
"=""1941003""",yes,Reprint of Vannevar Bush: Science The Endless Frontier,LPA,08/15/2019,DC,Government Printing Office,02/29/2020,2020,0.0
"=""1936834""",yes,WORKSHOP: Support for the Academy of Management Organizational Communication and Information Systems 2019 Doctoral Consortium,IIS,08/15/2019,UT,Utah State University,07/31/2020,2020,32000.0
"=""1905505""",yes,Collaborative Research: Investigating the Influences of Hydrothermal and Respired Carbon in Intermediate Waters of the Equatorial Pacific Ocean During the Last Deglaciation,OCE,08/15/2019,CA,CSUB Auxiliary for Sponsored Programs Administration,12/31/2019,2019,255788.0
"=""2002155""",yes,Pricing Services and Products in the Presence of Parallel Delivery Mechanisms and Strategic Consumer Behavior,CMMI,08/15/2019,MN,University of Minnesota-Twin Cities,05/31/2020,2020,31057.0
"=""1919654""",yes,RCN-UBE:  Inclusive Environments and Metrics in Biology Education and Research (iEMBER):  Novel Networking Fostering Interdisciplinary Communities and New Research Collaborations,DBI,08/15/2019,MO,HARRIS-STOWE STATE UNIVERSITY,01/31/2020,2020,499999.0
"=""1936244""",yes,NSF Student Travel Support for the 27th IEEE International Conference on Network Protocols (IEEE ICNP 2019),CNS,08/15/2019,NC,North Carolina State University,07/31/2020,2020,14000.0
"=""1912106""",yes,Compact Optomechanical Seismic Sensors,PHY,08/15/2019,AZ,University of Arizona,09/30/2020,2020,300000.0
"=""1935156""",yes,2019 Secure and Trustworthy Cyberspace PI Meeting,CNS,08/15/2019,NY,Barnard College,07/31/2020,2020,99088.0
"=""1946194""",yes,Towards the Future Direction of the NSF Program on the Cyberinfrastructure for Sustained Scientific Innovation (CSSI),OAC,08/15/2019,TX,University of Texas at Austin,07/31/2020,2020,50000.0
"=""1936157""",yes,Stanford Symposium to Accelerate Progress in AI in Healthcare,IIS,08/15/2019,CA,Stanford University,07/31/2020,2020,23364.0
"=""1941558""",yes,RAPID - Afterslip and triggered slip associated with the Ridgecrest earthquake sequence,EAR,08/15/2019,CO,University of Colorado at Boulder,07/31/2020,2020,37054.0
"=""1941318""",yes,ST3: Research Collaborative Network on Information-driven Biomaterials,DMR,08/15/2019,PA,University of Pennsylvania,07/31/2020,2020,100000.0
"=""1937358""",yes,The Role of Geosciences in Transforming Education and Career Pathways to Help Broaden Participation in STEM,RISE,08/15/2019,MD,Coppin State University,07/31/2020,2020,49862.0
"=""1918159""",yes,Doctoral Dissertation Research: Resilience-Building and Adversity Management in the Post-Welfare United States,BCS,08/15/2019,IL,University of Chicago,01/31/2021,2021,19879.0
"=""1908739""",yes,"Quantifying Chaos, Correlations, and Oscillations in Multi-Agent Systems and Advection Equations",DMS,08/15/2019,MD,"University of Maryland, College Park",09/30/2020,2020,383000.0
"=""1936797""",yes,"Workshop on Formal Language Theory in Linguistics: New Orleans, LA - January 2020",BCS,08/15/2019,PA,Haverford College,07/31/2020,2020,18490.0
"=""1949639""",yes,CCSS:   Collaborative Research:  Towards Privacy-Preserving Mobile Crowd Sensing: A Multi-Stage Solution,ECCS,08/14/2019,SC,Clemson University,06/30/2020,2020,27915.0
"=""2000488""",yes,"CRII: CSR: GPU-Accelerated, Multi-Display Applications for Large Computer-Aide Design (CAD) Model Visualization on a Commodity Desktop",CNS,08/13/2019,NY,Rochester Institute of Tech,01/31/2020,2020,7965.0
